t,v_10,v_25,v_75,v_90
0,-93.4245,-89.444,-81.763,-78.046
0.033333333,-93.4245,-89.444,-81.763,-78.046
0.066666667,-93.4245,-89.444,-81.763,-78.046
0.1,-93.4245,-89.444,-81.763,-78.046
0.133333333,-93.4245,-89.444,-81.763,-78.046
0.166666667,-93.4245,-89.444,-81.763,-78.046
0.2,-93.4245,-89.444,-81.763,-78.046
0.233333333,-93.4245,-89.444,-81.763,-78.046
0.266666667,-93.4245,-89.444,-81.763,-78.046
0.3,-93.4245,-89.444,-81.763,-78.046
0.333333333,-93.4245,-89.444,-81.763,-78.046
0.366666667,-93.4245,-89.444,-81.763,-78.046
0.4,-93.4245,-89.444,-81.763,-78.046
0.433333333,-93.4245,-89.444,-81.763,-78.046
0.466666667,-93.4245,-89.444,-81.763,-78.046
0.5,-93.4245,-89.444,-81.763,-78.046
0.533333333,-93.4245,-89.444,-81.763,-78.046
0.566666667,-93.4245,-89.444,-81.763,-78.046
0.6,-93.4245,-89.444,-81.763,-78.046
0.633333333,-93.4245,-89.444,-81.763,-78.046
0.666666667,-93.4245,-89.444,-81.763,-78.046
0.7,-93.4245,-89.444,-81.763,-78.046
0.733333333,-93.4245,-89.444,-81.763,-78.046
0.766666667,-93.4245,-89.444,-81.763,-78.046
0.8,-93.4245,-89.444,-81.763,-78.046
0.833333333,-93.4245,-89.444,-81.763,-78.046
0.866666667,-93.4245,-89.444,-81.763,-78.046
0.9,-93.4245,-89.444,-81.763,-78.046
0.933333333,-93.4245,-89.444,-81.763,-78.046
0.966666667,-93.4245,-89.444,-81.763,-78.046
1,-93.4245,-89.444,-81.763,-78.046
1.033333333,-93.4245,-89.444,-81.763,-78.046
1.066666667,-93.4245,-89.444,-81.763,-78.046
1.1,-93.4245,-89.444,-81.763,-78.046
1.133333333,-93.4245,-89.444,-81.763,-78.046
1.166666667,-93.4245,-89.444,-81.763,-78.046
1.2,-93.4245,-89.444,-81.763,-78.046
1.233333333,-93.4245,-89.444,-81.763,-78.046
1.266666667,-93.4245,-89.444,-81.763,-78.046
1.3,-93.4245,-89.444,-81.763,-78.046
1.333333333,-93.4245,-89.444,-81.763,-78.046
1.366666667,-93.4245,-89.444,-81.763,-78.046
1.4,-93.4245,-89.444,-81.763,-78.046
1.433333333,-93.4245,-89.444,-81.763,-78.046
1.466666667,-93.4245,-89.444,-81.763,-78.046
1.5,-93.4245,-89.444,-81.763,-78.046
1.533333333,-93.4245,-89.444,-81.763,-78.046
1.566666667,-93.4245,-89.444,-81.763,-78.046
1.6,-93.4245,-89.444,-81.763,-78.046
1.633333333,-93.4245,-89.444,-81.763,-78.046
1.666666667,-93.4245,-89.444,-81.763,-78.046
1.7,-93.4245,-89.444,-81.763,-78.046
1.733333333,-93.4245,-89.444,-81.763,-78.046
1.766666667,-93.4245,-89.444,-81.763,-78.046
1.8,-93.4245,-89.444,-81.763,-78.046
1.833333333,-93.4245,-89.444,-81.763,-78.046
1.866666667,-93.4245,-89.444,-81.763,-78.046
1.9,-93.4245,-89.444,-81.763,-78.046
1.933333333,-93.4245,-89.444,-81.763,-78.046
1.966666667,-93.4245,-89.444,-81.763,-78.046
2,-93.4245,-89.444,-81.763,-78.046
2.033333333,-93.4245,-89.444,-81.763,-78.046
2.066666667,-93.4245,-89.444,-81.763,-78.046
2.1,-93.4245,-89.444,-81.763,-78.046
2.133333333,-93.4245,-89.444,-81.763,-78.046
2.166666667,-93.4245,-89.444,-81.763,-78.046
2.2,-93.4245,-89.444,-81.763,-78.046
2.233333333,-93.4245,-89.444,-81.763,-78.046
2.266666667,-93.4245,-89.444,-81.763,-78.046
2.3,-93.4245,-89.444,-81.763,-78.046
2.333333333,-93.4245,-89.444,-81.763,-78.046
2.366666667,-93.4245,-89.444,-81.763,-78.046
2.4,-93.4245,-89.444,-81.763,-78.046
2.433333333,-93.4245,-89.444,-81.763,-78.046
2.466666667,-93.4245,-89.444,-81.763,-78.046
2.5,-93.4245,-89.444,-81.763,-78.046
2.533333333,-93.4245,-89.444,-81.763,-78.046
2.566666667,-93.4245,-89.444,-81.763,-78.046
2.6,-93.4245,-89.444,-81.763,-78.046
2.633333333,-93.4245,-89.444,-81.763,-78.046
2.666666667,-93.4245,-89.444,-81.763,-78.046
2.7,-93.4245,-89.444,-81.763,-78.046
2.733333333,-93.4245,-89.444,-81.763,-78.046
2.766666667,-93.4245,-89.444,-81.763,-78.046
2.8,-93.4245,-89.444,-81.763,-78.046
2.833333333,-93.4245,-89.444,-81.763,-78.046
2.866666667,-93.4245,-89.444,-81.763,-78.046
2.9,-93.4245,-89.444,-81.763,-78.046
2.933333333,-93.4245,-89.444,-81.763,-78.046
2.966666667,-93.4245,-89.444,-81.763,-78.046
3,-93.4245,-89.444,-81.763,-78.046
3.033333333,-93.4245,-89.444,-81.763,-78.046
3.066666667,-93.4245,-89.444,-81.763,-78.046
3.1,-93.4245,-89.444,-81.763,-78.046
3.133333333,-93.4245,-89.444,-81.763,-78.046
3.166666667,-93.4245,-89.444,-81.763,-78.046
3.2,-93.4245,-89.444,-81.763,-78.046
3.233333333,-93.4245,-89.444,-81.763,-78.046
3.266666667,-93.4245,-89.444,-81.763,-78.046
3.3,-93.4245,-89.444,-81.763,-78.046
3.333333333,-93.4245,-89.444,-81.763,-78.046
3.366666667,-93.4245,-89.444,-81.763,-78.046
3.4,-93.4245,-89.444,-81.763,-78.046
3.433333333,-93.4245,-89.444,-81.763,-78.046
3.466666667,-93.4245,-89.444,-81.763,-78.046
3.5,-93.4245,-89.444,-81.763,-78.046
3.533333333,-93.4245,-89.444,-81.763,-78.046
3.566666667,-93.4245,-89.444,-81.763,-78.046
3.6,-93.4245,-89.444,-81.763,-78.046
3.633333333,-93.4245,-89.444,-81.763,-78.046
3.666666667,-93.4245,-89.444,-81.763,-78.046
3.7,-93.4245,-89.444,-81.763,-78.046
3.733333333,-93.4245,-89.444,-81.763,-78.046
3.766666667,-93.4245,-89.444,-81.763,-78.046
3.8,-93.4245,-89.444,-81.763,-78.046
3.833333333,-93.4245,-89.444,-81.763,-78.046
3.866666667,-93.4245,-89.444,-81.763,-78.046
3.9,-93.4245,-89.444,-81.763,-78.046
3.933333333,-93.4245,-89.444,-81.763,-78.046
3.966666667,-93.4245,-89.444,-81.763,-78.046
4,-93.4245,-89.444,-81.763,-78.046
4.033333333,-93.4245,-89.444,-81.763,-78.046
4.066666667,-93.4245,-89.444,-81.763,-78.046
4.1,-93.4245,-89.444,-81.763,-78.046
4.133333333,-93.4245,-89.444,-81.763,-78.046
4.166666667,-93.4245,-89.444,-81.763,-78.046
4.2,-93.4245,-89.444,-81.763,-78.046
4.233333333,-93.4245,-89.444,-81.763,-78.046
4.266666667,-93.4245,-89.444,-81.763,-78.046
4.3,-93.4245,-89.444,-81.763,-78.046
4.333333333,-93.4245,-89.444,-81.763,-78.046
4.366666667,-93.4245,-89.444,-81.763,-78.046
4.4,-93.4245,-89.444,-81.763,-78.046
4.433333333,-93.4245,-89.444,-81.763,-78.046
4.466666667,-93.4245,-89.444,-81.763,-78.046
4.5,-93.4245,-89.444,-81.763,-78.046
4.533333333,-93.4245,-89.444,-81.763,-78.046
4.566666667,-93.4245,-89.444,-81.763,-78.046
4.6,-93.4245,-89.444,-81.763,-78.046
4.633333333,-93.4245,-89.444,-81.763,-78.046
4.666666667,-93.4245,-89.444,-81.763,-78.046
4.7,-93.4245,-89.444,-81.763,-78.046
4.733333333,-93.4245,-89.444,-81.763,-78.046
4.766666667,-93.4245,-89.444,-81.763,-78.046
4.8,-93.4245,-89.444,-81.763,-78.046
4.833333333,-93.4245,-89.444,-81.763,-78.046
4.866666667,-93.4245,-89.444,-81.763,-78.046
4.9,-93.4245,-89.444,-81.763,-78.046
4.933333333,-93.4245,-89.444,-81.763,-78.046
4.966666667,-93.4245,-89.444,-81.763,-78.046
5,-93.4245,-89.444,-81.763,-78.046
5.033333333,-93.4245,-89.444,-81.763,-78.046
5.066666667,-93.4245,-89.444,-81.763,-78.046
5.1,-93.4245,-89.444,-81.763,-78.046
5.133333333,-93.4245,-89.444,-81.763,-78.046
5.166666667,-93.4245,-89.444,-81.763,-78.046
5.2,-93.4245,-89.444,-81.763,-78.046
5.233333333,-93.4245,-89.444,-81.763,-78.046
5.266666667,-93.4245,-89.444,-81.763,-78.046
5.3,-93.4245,-89.444,-81.763,-78.046
5.333333333,-93.4245,-89.444,-81.763,-78.046
5.366666667,-93.4245,-89.444,-81.763,-78.046
5.4,-93.4245,-89.444,-81.763,-78.046
5.433333333,-93.4245,-89.444,-81.763,-78.046
5.466666667,-93.4245,-89.444,-81.763,-78.046
5.5,-93.4245,-89.444,-81.763,-78.046
5.533333333,-93.4245,-89.444,-81.763,-78.046
5.566666667,-93.4245,-89.444,-81.763,-78.046
5.6,-93.4245,-89.444,-81.763,-78.046
5.633333333,-93.4245,-89.444,-81.763,-78.046
5.666666667,-93.4245,-89.444,-81.763,-78.046
5.7,-93.4245,-89.444,-81.763,-78.046
5.733333333,-93.4245,-89.444,-81.763,-78.046
5.766666667,-93.4245,-89.444,-81.763,-78.046
5.8,-93.4245,-89.444,-81.763,-78.046
5.833333333,-93.4245,-89.444,-81.763,-78.046
5.866666667,-93.4245,-89.444,-81.763,-78.046
5.9,-93.4245,-89.444,-81.763,-78.046
5.933333333,-93.4245,-89.444,-81.763,-78.046
5.966666667,-93.4245,-89.444,-81.763,-78.046
6,-93.4245,-89.444,-81.763,-78.046
6.033333333,-93.4245,-89.444,-81.763,-78.046
6.066666667,-93.45506485,-89.444,-81.763,-78.046
6.1,-93.54605015,-89.444,-81.763,-78.046
6.133333333,-93.4986,-89.444,-81.763,-78.046
6.166666667,-93.4245,-89.444,-81.763,-78.046
6.2,-93.4245,-89.444,-81.763,-78.046
6.233333333,-93.4245,-89.444,-81.763,-78.046
6.266666667,-93.39820471,-89.444,-81.763,-78.046
6.3,-93.37267529,-89.444,-81.763,-78.046
6.333333333,-93.2757,-89.444,-81.763,-78.046
6.366666667,-93.32500632,-89.444,-81.763,-78.046
6.4,-93.41963868,-89.444,-81.763,-78.046
6.433333333,-93.2757,-89.444,-81.763,-78.046
6.466666667,-93.2013,-89.444,-81.763,-78.046
6.5,-93.27449838,-89.444,-81.763,-78.046
6.533333333,-93.2013,-89.444,-81.763,-78.046
6.566666667,-93.2013,-89.444,-81.763,-78.046
6.6,-93.2013,-89.444,-81.763,-78.046
6.633333333,-93.2013,-89.444,-81.763,-78.046
6.666666667,-93.2013,-89.444,-81.763,-78.046
6.7,-93.2013,-89.444,-81.763,-78.046
6.733333333,-93.2013,-89.444,-81.763,-78.046
6.766666667,-93.2013,-89.444,-81.763,-78.046
6.8,-93.22252338,-89.444,-81.763,-78.046
6.833333333,-93.2013,-89.444,-81.763,-78.046
6.866666667,-93.2013,-89.444,-81.763,-78.046
6.9,-93.2013,-89.444,-81.763,-78.046
6.933333333,-93.2013,-89.444,-81.763,-78.046
6.966666667,-93.2013,-89.444,-81.763,-78.046
7,-93.2013,-89.444,-81.763,-78.046
7.033333333,-93.2013,-89.444,-81.763,-78.046
7.066666667,-93.2013,-89.444,-81.763,-78.046
7.1,-93.2013,-89.444,-81.763,-78.046
7.133333333,-93.2013,-89.444,-81.763,-78.046
7.166666667,-93.2013,-89.444,-81.763,-78.046
7.2,-93.2013,-89.444,-81.763,-78.046
7.233333333,-93.2013,-89.444,-81.763,-78.046
7.266666667,-93.2013,-89.444,-81.763,-78.046
